Timestamp,EAR,MAR,Alert
2025-09-14 19:27:28.193661,0.252,1.274,Yawning
2025-09-14 19:27:28.721609,0.269,1.344,Yawning
2025-09-14 19:27:29.254304,0.285,1.244,Yawning
2025-09-14 19:27:29.800384,0.267,1.336,Yawning
2025-09-14 19:27:30.333999,0.278,1.270,Yawning
2025-09-14 19:27:30.866480,0.253,1.295,Yawning
2025-09-14 19:27:31.383191,0.263,1.315,Yawning
2025-09-14 19:27:31.911192,0.319,1.224,Yawning
2025-09-14 19:27:32.443859,0.315,1.155,Yawning
2025-09-14 19:27:32.973618,0.168,1.294,Yawning
2025-09-14 19:27:33.506965,0.240,1.300,Yawning
2025-09-14 19:27:34.023952,0.237,1.118,Yawning
2025-09-14 19:27:34.560792,0.202,1.144,Yawning
2025-09-14 19:27:35.092700,0.157,1.096,Yawning
2025-09-14 19:27:35.624869,0.157,1.089,Yawning
2025-09-14 19:27:36.162954,0.038,1.055,Yawning
2025-09-14 19:27:36.683637,0.137,1.069,Yawning
2025-09-14 19:27:37.210388,0.173,1.142,Yawning
2025-09-14 19:27:37.744667,0.278,1.198,Yawning
2025-09-14 19:27:38.267662,0.315,1.162,Yawning
2025-09-14 19:27:38.801011,0.122,1.131,Yawning
2025-09-14 19:27:39.335067,0.256,1.215,Yawning
2025-09-14 19:27:39.866331,0.257,1.237,Yawning
2025-09-14 19:27:40.386289,0.275,1.343,Yawning
2025-09-14 19:27:40.918897,0.060,1.289,Yawning
2025-09-14 19:27:41.457992,0.053,1.192,Yawning
2025-09-14 19:27:41.992430,0.060,1.237,Yawning
2025-09-14 19:27:42.512121,0.047,1.299,Yawning
2025-09-14 19:27:43.033658,0.041,1.224,Yawning
2025-09-14 19:27:43.556647,0.039,1.189,Yawning
2025-09-14 19:27:44.076080,0.047,1.288,Yawning
2025-09-14 19:27:44.609446,0.058,1.251,Yawning
2025-09-14 19:27:45.131878,0.060,1.325,Yawning
2025-09-14 19:27:45.648769,0.065,1.194,Yawning
2025-09-14 19:27:46.178089,0.153,1.238,Yawning
